2022-04-15 14:11:58.772 [main] INFO  calculator.Calculator - Calculating square root of: 4.0...
2022-04-15 14:11:58.774 [main] INFO  calculator.Calculator - Result: 2.0
2022-04-15 14:12:52.730 [main] INFO  calculator.Calculator - Calculating factorial of: 4.0...
2022-04-15 14:12:52.731 [main] INFO  calculator.Calculator - Result: 24.0
2022-04-15 14:12:52.731 [main] INFO  calculator.Calculator - Calculating factorial of: 6.0...
2022-04-15 14:12:52.731 [main] INFO  calculator.Calculator - Result: 720.0
2022-04-15 14:12:52.732 [main] INFO  calculator.Calculator - Calculating square root of: 25.0...
2022-04-15 14:12:52.732 [main] INFO  calculator.Calculator - Result: 5.0
2022-04-15 14:12:52.732 [main] INFO  calculator.Calculator - Calculating square root of: 196.0...
2022-04-15 14:12:52.732 [main] INFO  calculator.Calculator - Result: 14.0
2022-04-15 14:12:52.733 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 1.0...
2022-04-15 14:12:52.733 [main] INFO  calculator.Calculator - Result: 0.0
2022-04-15 14:12:52.733 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 3.0...
2022-04-15 14:12:52.733 [main] INFO  calculator.Calculator - Result: 1.0986122886681098
2022-04-15 14:12:52.735 [main] INFO  calculator.Calculator - Calculating square root of: 20.0...
2022-04-15 14:12:52.736 [main] INFO  calculator.Calculator - Result: 4.47213595499958
2022-04-15 14:12:52.736 [main] INFO  calculator.Calculator - Calculating square root of: 76.0...
2022-04-15 14:12:52.736 [main] INFO  calculator.Calculator - Result: 8.717797887081348
2022-04-15 14:12:52.736 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 18.0...
2022-04-15 14:12:52.736 [main] INFO  calculator.Calculator - Result: 2.8903717578961645
2022-04-15 14:12:52.736 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 56.0...
2022-04-15 14:12:52.736 [main] INFO  calculator.Calculator - Result: 4.02535169073515
2022-04-15 14:12:52.737 [main] INFO  calculator.Calculator - Calculating factorial of: 5.0...
2022-04-15 14:12:52.737 [main] INFO  calculator.Calculator - Result: 120.0
2022-04-15 14:12:52.737 [main] INFO  calculator.Calculator - Calculating factorial of: 7.0...
2022-04-15 14:12:52.737 [main] INFO  calculator.Calculator - Result: 5040.0
2022-04-15 14:12:52.737 [main] INFO  calculator.Calculator - Calculating exponentiation of: 2.0 to the power of 3.0...
2022-04-15 14:12:52.737 [main] INFO  calculator.Calculator - Result: 8.0
2022-04-15 14:12:52.737 [main] INFO  calculator.Calculator - Calculating exponentiation of: 8.0 to the power of 3.0...
2022-04-15 14:12:52.738 [main] INFO  calculator.Calculator - Result: 512.0
2022-04-15 14:12:52.738 [main] INFO  calculator.Calculator - Calculating exponentiation of: 5.0 to the power of 2.0...
2022-04-15 14:12:52.738 [main] INFO  calculator.Calculator - Result: 25.0
2022-04-15 14:12:52.738 [main] INFO  calculator.Calculator - Calculating exponentiation of: 7.0 to the power of 3.0...
2022-04-15 14:12:52.738 [main] INFO  calculator.Calculator - Result: 343.0
2022-04-15 14:14:22.474 [main] INFO  calculator.Calculator - Calculating natural logarithm of: -3.0...
2022-04-15 14:14:22.476 [main] INFO  calculator.Calculator - Result: NaN
2022-04-15 14:14:46.164 [main] INFO  calculator.Calculator - Calculating factorial of: 4.0...
2022-04-15 14:14:46.165 [main] INFO  calculator.Calculator - Result: 24.0
2022-04-15 14:14:46.165 [main] INFO  calculator.Calculator - Calculating factorial of: 6.0...
2022-04-15 14:14:46.165 [main] INFO  calculator.Calculator - Result: 720.0
2022-04-15 14:14:46.166 [main] INFO  calculator.Calculator - Calculating square root of: 25.0...
2022-04-15 14:14:46.166 [main] INFO  calculator.Calculator - Result: 5.0
2022-04-15 14:14:46.166 [main] INFO  calculator.Calculator - Calculating square root of: 196.0...
2022-04-15 14:14:46.166 [main] INFO  calculator.Calculator - Result: 14.0
2022-04-15 14:14:46.166 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 1.0...
2022-04-15 14:14:46.167 [main] INFO  calculator.Calculator - Result: 0.0
2022-04-15 14:14:46.167 [main] INFO  calculator.Calculator - Calculating natural logarithm of: -3.0...
2022-04-15 14:14:46.167 [main] INFO  calculator.Calculator - Result: NaN
2022-04-15 14:14:46.167 [main] INFO  calculator.Calculator - Calculating square root of: 20.0...
2022-04-15 14:14:46.167 [main] INFO  calculator.Calculator - Result: 4.47213595499958
2022-04-15 14:14:46.167 [main] INFO  calculator.Calculator - Calculating square root of: 76.0...
2022-04-15 14:14:46.167 [main] INFO  calculator.Calculator - Result: 8.717797887081348
2022-04-15 14:14:46.168 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 18.0...
2022-04-15 14:14:46.168 [main] INFO  calculator.Calculator - Result: 2.8903717578961645
2022-04-15 14:14:46.168 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 56.0...
2022-04-15 14:14:46.168 [main] INFO  calculator.Calculator - Result: 4.02535169073515
2022-04-15 14:14:46.168 [main] INFO  calculator.Calculator - Calculating factorial of: 5.0...
2022-04-15 14:14:46.168 [main] INFO  calculator.Calculator - Result: 120.0
2022-04-15 14:14:46.168 [main] INFO  calculator.Calculator - Calculating factorial of: 7.0...
2022-04-15 14:14:46.168 [main] INFO  calculator.Calculator - Result: 5040.0
2022-04-15 14:14:46.169 [main] INFO  calculator.Calculator - Calculating exponentiation of: 2.0 to the power of 3.0...
2022-04-15 14:14:46.169 [main] INFO  calculator.Calculator - Result: 8.0
2022-04-15 14:14:46.169 [main] INFO  calculator.Calculator - Calculating exponentiation of: 8.0 to the power of 3.0...
2022-04-15 14:14:46.169 [main] INFO  calculator.Calculator - Result: 512.0
2022-04-15 14:14:46.169 [main] INFO  calculator.Calculator - Calculating exponentiation of: 5.0 to the power of 2.0...
2022-04-15 14:14:46.169 [main] INFO  calculator.Calculator - Result: 25.0
2022-04-15 14:14:46.169 [main] INFO  calculator.Calculator - Calculating exponentiation of: 7.0 to the power of 3.0...
2022-04-15 14:14:46.170 [main] INFO  calculator.Calculator - Result: 343.0
2022-04-15 14:23:50.781 [main] INFO  calculator.Calculator - Calculating factorial of: 4.0...
2022-04-15 14:23:50.783 [main] INFO  calculator.Calculator - Result: 24.0
2022-04-15 14:23:50.783 [main] INFO  calculator.Calculator - Calculating factorial of: 6.0...
2022-04-15 14:23:50.783 [main] INFO  calculator.Calculator - Result: 720.0
2022-04-15 14:23:50.784 [main] INFO  calculator.Calculator - Calculating square root of: 25.0...
2022-04-15 14:23:50.784 [main] INFO  calculator.Calculator - Result: 5.0
2022-04-15 14:23:50.784 [main] INFO  calculator.Calculator - Calculating square root of: 196.0...
2022-04-15 14:23:50.784 [main] INFO  calculator.Calculator - Result: 14.0
2022-04-15 14:23:50.784 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 1.0...
2022-04-15 14:23:50.784 [main] INFO  calculator.Calculator - Result: 0.0
2022-04-15 14:23:50.784 [main] INFO  calculator.Calculator - Calculating natural logarithm of: -3.0...
2022-04-15 14:23:50.784 [main] INFO  calculator.Calculator - Result: NaN
2022-04-15 14:23:50.785 [main] INFO  calculator.Calculator - Calculating square root of: 20.0...
2022-04-15 14:23:50.785 [main] INFO  calculator.Calculator - Result: 4.47213595499958
2022-04-15 14:23:50.785 [main] INFO  calculator.Calculator - Calculating square root of: 76.0...
2022-04-15 14:23:50.785 [main] INFO  calculator.Calculator - Result: 8.717797887081348
2022-04-15 14:23:50.785 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 18.0...
2022-04-15 14:23:50.785 [main] INFO  calculator.Calculator - Result: 2.8903717578961645
2022-04-15 14:23:50.785 [main] INFO  calculator.Calculator - Calculating natural logarithm of: 56.0...
2022-04-15 14:23:50.786 [main] INFO  calculator.Calculator - Result: 4.02535169073515
2022-04-15 14:23:50.786 [main] INFO  calculator.Calculator - Calculating factorial of: 5.0...
2022-04-15 14:23:50.786 [main] INFO  calculator.Calculator - Result: 120.0
2022-04-15 14:23:50.786 [main] INFO  calculator.Calculator - Calculating factorial of: 7.0...
2022-04-15 14:23:50.786 [main] INFO  calculator.Calculator - Result: 5040.0
2022-04-15 14:23:50.786 [main] INFO  calculator.Calculator - Calculating exponentiation of: 2.0 to the power of 3.0...
2022-04-15 14:23:50.787 [main] INFO  calculator.Calculator - Result: 8.0
2022-04-15 14:23:50.787 [main] INFO  calculator.Calculator - Calculating exponentiation of: 8.0 to the power of 3.0...
2022-04-15 14:23:50.787 [main] INFO  calculator.Calculator - Result: 512.0
2022-04-15 14:23:50.787 [main] INFO  calculator.Calculator - Calculating exponentiation of: 5.0 to the power of 2.0...
2022-04-15 14:23:50.787 [main] INFO  calculator.Calculator - Result: 25.0
2022-04-15 14:23:50.787 [main] INFO  calculator.Calculator - Calculating exponentiation of: 7.0 to the power of 3.0...
2022-04-15 14:23:50.787 [main] INFO  calculator.Calculator - Result: 343.0
2022-04-15 14:23:57.879 [main] INFO  calculator.Calculator - Calculating factorial of: 4.0...
2022-04-15 14:23:57.880 [main] INFO  calculator.Calculator - Result: 24.0
2022-04-15 14:23:57.880 [main] INFO  calculator.Calculator - Calculating factorial of: 6.0...
2022-04-15 14:23:57.880 [main] INFO  calculator.Calculator - Result: 720.0
